model,dataset,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,n_queries
ge2,nfcorpus,0.06670601552326105,0.15845270965317013,0.20037492079530791,0.6219647455211117,0.40888571331701284,323.0
ge2,scifact,0.6116111111111112,0.8405555555555555,0.8879999999999999,0.7306338844495296,0.7618166705682674,300.0
ge2,trec-covid,0.002648459579047774,0.01180783020174261,0.02250026886049978,0.99,0.7990012149130203,50.0
ge2,fiqa,0.2932686269491827,0.5636759074259072,0.6624628457961791,0.6568562894885596,0.582077778136144,648.0
bge,fiqa,0.184367612839835,0.34813838424949545,0.42802524978450907,0.45886546259607724,0.3663612993898091,648.0
bge,nfcorpus,0.04666519810780116,0.11213316242591581,0.13928489543338438,0.49718007402201475,0.29433388900021135,323.0
bge,scifact,0.5007777777777778,0.7151666666666667,0.7872222222222222,0.6206095934795043,0.6501961133471329,300.0
e5,nfcorpus,0.0608075525902305,0.1465414691987036,0.1890652931317723,0.5730999752049318,0.3739749762390579,323.0
e5,scifact,0.5776111111111112,0.7809444444444443,0.8438333333333333,0.6921670801931318,0.7221519907613542,300.0
e5,trec-covid,0.0020134524933762,0.009870443071454,0.0180207058096547,0.8435238095238096,0.6458517724691342,50.0
e5,fiqa,0.2110786161712086,0.3972328169087429,0.4721655102442138,0.5072974452056047,0.4113473483390087,648.0
me5,nfcorpus,0.0563843681581138,0.1289367909371354,0.1644544258269114,0.5294144272243134,0.3408914295112553,323.0
me5,scifact,0.5726111111111112,0.7625,0.8194444444444444,0.6802322695124882,0.704198062576012,300.0
me5,trec-covid,0.0020416265695187,0.0100120709701801,0.0188014875482851,0.8656666666666668,0.7021662738917243,50.0
me5,fiqa,0.2216575648288611,0.4191188398364323,0.5161518522629632,0.523444520675569,0.4381459083870998,648.0
labse,nfcorpus,0.0182273602006855,0.05288131400617,0.0709500685539469,0.2975370451279263,0.1549427185164646,323.0
labse,scifact,0.2642777777777778,0.4067777777777778,0.4992777777777779,0.3557532574588138,0.3775640607757107,300.0
labse,trec-covid,0.0006339136282029,0.0024320297162985,0.0040852278737952,0.340044503280181,0.1511607585140415,50.0
labse,fiqa,0.0273967801745579,0.0644247984525762,0.0930556840279062,0.098627117934617,0.0693838244709292,648.0
mpnet,nfcorpus,0.023138655499279268,0.05200795138280305,0.0764465183202111,0.3365933085151594,0.1722423110586318,323.0
mpnet,scifact,0.20166666666666666,0.3633888888888889,0.44444444444444436,0.29556516833640456,0.31689342849259283,300.0
mpnet,trec-covid,0.0009990399872995893,0.004989830693067736,0.008836802985650727,0.5311031746031746,0.30818329796872473,50.0
mpnet,fiqa,0.07278062301210453,0.16481182569145528,0.21615801465338494,0.23252183436301424,0.17369759737025955,648.0
