model,strategy,chunk_size,n_chunks,storage_mb,throughput_pps,Recall@1,Recall@5,Recall@10,MRR,nDCG@10,n_queries
ge2,fixed,8,15662,45.88,111.8,0.0103,0.0278,0.0361,0.1272,0.0463,640.0
ge2,fixed,16,8462,24.79,72.4,0.0334,0.1375,0.2427,0.2638,0.1831,640.0
ge2,fixed,32,4462,13.07,96.6,0.0605,0.2846,0.4708,0.2579,0.2794,640.0
ge2,fixed,64,3200,9.38,48715.8,0.0609,0.288,0.476,0.2587,0.2821,640.0
ge2,fixed,128,3200,9.38,51686.1,0.0609,0.288,0.476,0.2587,0.2821,640.0
ge2,sliding_window,8,29724,87.08,485.6,0.0057,0.0314,0.0459,0.1989,0.0803,640.0
ge2,sliding_window,16,15662,45.88,234.7,0.0166,0.0692,0.121,0.2629,0.1238,640.0
ge2,sliding_window,32,8462,24.79,349.3,0.0304,0.1435,0.24,0.2583,0.1796,640.0
ge2,sliding_window,64,4462,13.07,50207.6,0.0605,0.2844,0.4708,0.2587,0.2797,640.0
ge2,sliding_window,128,3200,9.38,46604.1,0.0609,0.288,0.476,0.2587,0.2821,640.0
ge2,semantic,8,15662,45.88,77870.4,0.0103,0.0278,0.0361,0.1272,0.0463,640.0
ge2,semantic,16,6524,19.11,67055.8,0.0591,0.2789,0.4606,0.253,0.2733,640.0
ge2,semantic,32,3200,9.38,42043.8,0.0609,0.288,0.476,0.2587,0.2821,640.0
ge2,semantic,64,3200,9.38,47081.0,0.0609,0.288,0.476,0.2587,0.2821,640.0
ge2,semantic,128,3200,9.38,47147.9,0.0609,0.288,0.476,0.2587,0.2821,640.0
